SIf_Id,scheme_id,Scheme_Name,Scheme_Objective,SchemeType_Desc,SchemeCat_Desc,Launch_Date,scheme_load,Scheme_min_amt,SIF_Name,AMC_Website,Scheme_Bonus
47,S-22,Altiva Equity Ex- Top 100 Long - Short Fund,"To generate capital appreciation in the long term by predominantly investing
in equity and equity related securities of Ex – top 100 companies. The
Investment Strategy may also invest in various derivative instruments,
including short exposure through unhedged derivative positions in equity
and equity related instruments of Ex – top 100 stocks upto 25%.
There is no assurance that the investment objective of the Investment
strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Ex-Top 100 Long-Short Fund,2026-05-17T18:30:00.000Z,"- If the units are redeemed/ switched out on or before 90 days from the
date of allotment – 0.50% of the applicable NAV.
- If the units are redeemed/switched out after 90 days from the date of
allotment – Nil","Minimum (including switch-in) of Rs. 10,00,000/-",Altiva SIF,https://www.edelweissmf.com,
47,S-3,Altiva Hybrid Long-Short Fund,"The primary objective of the investment strategy is to generate capital appreciation through equity and equity related instruments and income through arbitrage, derivatives strategies, special situations and fixed income investments.

There is no assurance that the investment objective of the Investment strategy will be achieved.
",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2025-09-30T18:30:00.000Z,"-If the units are redeemed/ switched out on or before 180 days from the date of allotment – 0.50% of the applicable NAV. 

-If the units are redeemed/switched out after 180 days from the date of allotment – Nil
","Minimum of Rs. 10,00,000/- and in multiples of Re.",Altiva SIF,https://www.edelweissmf.com,
62,S-14,DynaSIF Active Asset Allocator Long-Short Fund,"To generate capital appreciation and income generation with dynamic allocation to different asset classes like equities, InVITs, commodities and fixed income layered with derivatives long-short trading strategies.
There is no assurance that the investment objective of the Investment strategy will be achieved.",Interval Fund,Hybrid Investment Strategies - Active Asset Allocator Long-Short Fund,2026-03-05T18:30:00.000Z,,"10,00,000",DynaSIF SIF,https://www.360.one/asset-management/mutualfund/,
62,S-28,DynaSIF Equity Ex-Top 100 Long - Short Fund,"To generate long term capital appreciation using structural, cyclical, and tactical investing opportunities primarily in mid and small cap equities 
with optionality of hedging and shorting.
There is no assurance that the investment objective of the investment strategy will be realized.
",Open Ended,Equity Oriented Investment Strategies - Equity Ex-Top 100 Long-Short Fund,2026-06-04T18:30:00.000Z,"0.5% if redeemed within 3 months from the date of allotment 
of units 
 
No exit load is payable if redeemed after 3 months from the date of 
allotment of units.","10,00,000",DynaSIF SIF,https://www.360.one/asset-management/mutualfund/,
62,S-11,DynaSIF Equity Long - Short Fund,"To generate long term capital appreciation using structural, cyclical, and tactical investing opportunities in equities with optionality of hedging and shorting.
There is no assurance that the investment objective of the Investment strategy will be achieved. 
",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-02-05T18:30:00.000Z,,"10,00,000",DynaSIF SIF,https://www.360.one/asset-management/mutualfund/,
20,S-23,iSIF Active Asset Allocator Long-Short Fund,"The Investment Strategy intends to dynamically invest 
in equity and equity related securities with an aim to 
achieve long term capital appreciation and also invest in 
Debt instruments to generate regular income. The 
Investment Strategy can also invest in units of InVITs. 
The Investment Strategy can also adopt equity, debt 
and commodity derivative strategies. 
There is no assurance that the investment objective of 
the Investment strategy will be achieved.",Open Ended,Hybrid Investment Strategies - Active Asset Allocator Long-Short Fund,2026-05-18T18:30:00.000Z,"Entry Load Nil
Exit Load:  
• 1% of applicable Net Asset Value - If the amount 
sought to be redeemed or switched out within 12 
months from allotment.  
• NIL - If the amount sought to be redeemed or 
switched after12 months.
The Trustees shall have a right to prescribe or modify 
the exit load structure with prospective effect subject to 
the maximum prescribed under the Regulations.","10,00,000",iSIF SIF,https://www.icicipruamc.com,
20,S-8,iSIF Equity Ex-Top 100 Long-Short Fund,"To generate capital appreciation in long term by 
predominantly investing in equity and equity related 
securities of Ex – top 100 companies. The Investment 
Strategy may also invest in various derivative instruments, 
including short exposure through unhedged derivative 
positions in equity and equity related instruments of Ex – 
top 100 stocks upto 25%.

There is no assurance that the investment objective of the 
Investment strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Ex-Top 100 Long-Short Fund,2026-01-15T18:30:00.000Z,"no entry load will be charged by the Investment Strategy to the 
investors.

Exit Load: 
•1% of applicable Net Asset Value - If the amount sought
 to be redeemed or switched out within 12 months from
 allotment.
 •NIL - If the amount sought to be redeemed or switched
 out after 12 months
The Trustees shall have a right to prescribe or modify the 
exit load structure with prospective effect subject to the 
maximum prescribed under the Regulations. 
","10,00,000",iSIF SIF,https://www.icicipruamc.com,
20,S-24,iSIF Equity Long-Short Fund,"To generate capital appreciation in long term by 
predominantly investing in listed equity and equity 
related instruments. The Investment Strategy may also 
invest in various derivative instruments, including limited 
short exposure through unhedged derivative positions in 
equity up to 25%.
There is no assurance that the investment objective of 
the Investment strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2026-05-18T18:30:00.000Z,"Entry Load Nil
Exit Load:  
 
• 1% of applicable Net Asset Value - If the amount 
sought to be redeemed or switched out within 12 
months from allotment.  
• NIL - If the amount sought to be redeemed or switched 
out after 12 months. 
The Trustees shall have a right to prescribe or modify 
the exit load structure with prospective effect subject to","10,00,000",iSIF SIF,https://www.icicipruamc.com,
20,S-9,iSIF Hybrid Long-Short Fund,"The Investment Strategy intends to predominantly 
invest in equity and equity related securities with an aim 
to achieve capital appreciation over long term, and also 
invest in Debt instruments to generate regular income. 
The Investment Strategy can also adopt equity and debt 
derivative strategies. The Investment Strategy can also 
invest in units of InVITs.  

There is no assurance that the investment objective of 
the Investment strategy will be achieved.",Open Ended,Hybrid Investment Strategies - Hybrid Long-Short Fund,2026-01-15T18:30:00.000Z,"Exit Load:  
? 1% of applicable Net Asset Value - If the amount 
sought to be redeemed or switched out within 12 
months from allotment.  
? NIL - If the amount sought to be redeemed after 12 
months. 
 
The Trustees shall have a right to prescribe or modify the 
exit load structure with prospective effect subject to the 
maximum prescribed under the Regulations.","10,00,000",iSIF SIF,https://www.icicipruamc.com,
13,S-15,qsif Active Asset Allocator Long-Short Fund,"To achieve long-term capital appreciation and income generation by dynamically allocating investments across multiple asset classes—equity, debt, equity and debt derivatives, REITs/InVITs, and commodity derivatives—while utilizing up to 25% short exposure on permitted instruments through derivatives to optimize returns and manage risk efficiently.
There is no assurance that the investment objective of the Investment strategy will be achieved.",Interval Fund,Hybrid Investment Strategies - Active Asset Allocator Long-Short Fund,2026-04-01T18:30:00.000Z,,"10,00,000",qsif SIF,https://www.quantmutual.com,
13,S-6,qsif Equity Ex-Top 100 Long-Short Fund,"To generate long-term capital appreciation by investing primarily in equity and equity-related instruments of stocks outside the top 100 by market capitalization, while utilizing limited short exposure through derivatives to enhance returns and manage risk. There is no assurance that the investment objective of the Investment strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Ex-Top 100 Long-Short Fund,2025-10-23T18:30:00.000Z,"Entry Load: Not Applicable

Exit  Load:    1%  if  redeemed/switched  out  on  or  before  completion  of  15 daysfrom the date of allotment of units

No Exit Load is payable if Units are redeemed / switched-out after 15 days from the date of allotment","10,00,000",qsif SIF,https://www.quantmutual.com,
13,S-1,qsif Equity Long-Short Fund,To  generate  long-term capital  appreciation  by  investing  in  a  diversified portfolio of equity and equity-related instruments while employing limited short  exposure  through  derivatives  to  enhance  returns  and  manage  riskefficiently.  There  is  no  assurance  that  the  investment  objective  of  the Investment strategy will be achieved.,Open Ended,Equity Oriented Investment Strategies - Equity Long-Short Fund,2025-09-16T18:30:00.000Z,"Entry Load: Not Applicable

Exit  Load:    1%  if  redeemed/switched  out  on  or  before  completion  of  15 daysfrom the date of allotment of units

No Exit Load is payable if Units are redeemed / switched-out after 15 days from the date of allotment",1000000,qsif SIF,https://www.quantmutual.com,
13,S-2,qsif Hybrid Long-Short Fund,"To achieve a blend of capital appreciation and income generation by maintaining a balanced exposure to equity and debt instruments, with a minimum of 25% in each, while utilizing up to 25% in short derivative positions to enhance returns and manage risk efficiently.",Interval Fund,Hybrid Investment Strategies - Hybrid Long-Short Fund,2025-09-24T18:30:00.000Z,"Entry Load: Not Applicable

Exit  Load:    1%  if  redeemed/switched  out  on  or  before  completion  of  15 daysfrom the date of allotment of units

No Exit Load is payable if Units are redeemed / switched-out after 15 days from the date of allotment.","10,00,000",qsif SIF,https://www.quantmutual.com,
13,S-21,qsif Sector Rotation Long-Short Fund,"To achieve long-term capital appreciation by concentrating investments in
equity and equity-related instruments of up to four high-potential sectors,
while employing limited short exposure through derivatives to capitalize on
sector-specific downturns and enhance risk-adjusted returns.",Open Ended,Equity Oriented Investment Strategies - Sector Rotation Long-Short Fund,2026-04-26T18:30:00.000Z,,"10,00,000",qsif SIF,https://www.quantmutual.com,
83,S-18,WSIF Equity Ex-Top 100 Long-Short Fund,"To generate long-term capital appreciation by investing primarily in equity and equity-related instruments of stocks outside the top 100 by market capitalization, while utilizing limited short exposure through derivative. There is no assurance that the investment objective of the Investment strategy will be achieved.",Open Ended,Equity Oriented Investment Strategies - Equity Ex-Top 100 Long-Short Fund,2026-04-14T18:30:00.000Z,"Entry Load  : NIL
Exit Load: NIL
",1000000,The Wealth Company Mutual Fund,https://www.wealthcompanyamc.in,
